Marque_voiture,Modele,Kilometrage,Couleur,TypeBoite,Annee,Cylindre,Puissance,Carburant,Prix
Punto,5,242352,Manuelle,Avec kilométrage,1.2L,Fiat,Essence,Blanc,18000
Essence,Avec kilométrage,270000,Manuelle,Gris,2015,Grand i10,3.0L,Autres,33000
Avec kilométrage,3.0L,50000,Automatique,Renault,Megane,Gris,0,Diesel,75000
Kia,Sportage,103,Blanc,Automatique,2018,1.7L,07,Diesel,98000
Chery,QQ,44,Blanc,Manuelle,2021,1.4L,4,Essence,23500
Citroen,Berlingo,430,Blanc,Manuelle,2010,1.6L,6,Diesel,27000
Ford,Fiesta,153,Gris,Manuelle,2009,1.4L,5,Essence,1234
Mercedes-Benz,Classe A,100,Noir,Manuelle,2011,1.4L,6,Essence,30500
Renault,Kangoo,300,Blanc,Manuelle,2006,2.0L,7,Diesel,8999
Renault,Symbol,137000,Noir,Automatique,2019,<1.0L,5,Essence,38500
Renault,Clio,104000,Bleu,Manuelle,2013,1.2L,00,Essence,39500
Seat,Ibiza,84874,Gris,Manuelle,2020,<1.0L,4,Essence,42800
Mahindra,Hover,70000,Blanc,Manuelle,2020,1.2L,5,Essence,35000
Renault,Clio,1111,Rouge,Manuelle,2000,1.4L,4,Essence,12000
Volkswagen,Golf,132000,Bleu,Manuelle,2015,1.2L,5,Essence,60000
Peugeot,2008,155000,Camel,Manuelle,2015,1.2L,5,Essence,36000
BMW,X3,100000,Blanc,Automatique,2013,2.0L,10,Diesel,103000
Audi,A5,68000,Noir,Automatique,2018,1.4L,8,Essence,141500
Citroen,C3,178000,Noir,Manuelle,2013,1.2L,5,Essence,26000
Ssangyong,Actyon,270000,Bleu,Manuelle,2012,2.2L,7,Diesel,33500
C3,Compacte,107338,Gris,Manuelle,1.2L,Citroen,Essence,2013,30500
Volkswagen,Passat,168000,Noir,Manuelle,2014,1.4L,7,Essence,45000
Mazda,3,020,Noir,Manuelle,2014,1.6L,0,Essence,31000
Opel,Astra,212,Gris,Manuelle,2010,>4.0L,5,Essence,24500
Peugeot,Partner,400,Gris,Manuelle,2001,>4.0L,6,Essence,20000
Mazda,3,115000,Blanc,Manuelle,2016,1.5L,6,Essence,1234
Nissan,Primastar,125000,Blanc,Manuelle,2010,1.9L,7,Diesel,35000
Renault,Megane,11200,Noir,Manuelle,2019,1.2L,7,Essence,51000
Opel,Corsa,29640989,Rouge,Manuelle,1995,1.2L,4,Essence,29640989
Fiat,Punto,160,Blanc,Manuelle,2018,1.2L,4,Essence,27000
Volkswagen,Passat,999,Noir,Manuelle,2002,1.6L,7,Essence,22000
Chery,Tiggo,38600,Rouge,Manuelle,2021,1.5L,6,Essence,45800
Peugeot,307,0,Noir,Manuelle,2006,1.2L,5,Essence,21500
Mercedes-Benz,250,380000,Beige,Manuelle,1989,2.5L,8,Diesel,24000
Citroen,C4,180000,Gris,Manuelle,2016,3.0L,6,Essence,32500
Ford,Fusion,229000,Noir,Manuelle,2010,1.2L,5,Essence,21500
Essence,540000,1996,1.2L,106,4,Compacte,Bleu,Manuelle,10500
NULL,NULL,Gris,Manuelle,NULL,NULL,NULL,NULL,NULL,24000
Volkswagen,Golf,118000,Noir,Manuelle,2018,1.2L,Berline,6,76000
Autres,Autres,240000,Noir,Manuelle,2016,1.2L,4,Essence,22000
Kia,Rio,40000,Bleu,Manuelle,2022,1.2L,5,Essence,123
Mercedes-Benz,Classe A,201000,Noir,Manuelle,2013,1.6L,7,Essence,62500
Kia,Rio,50000,Blanc,Manuelle,2022,1.2L,5,Essence,123
Renault,Clio,109,Gris,Manuelle,2019,<1.0L,5,Essence,49800
Mercedes-Benz,Classe A,184600,Gris,Automatique,2015,1.6L,6,Essence,70000
Autres,8,Blanc,40000,2020,1.6L,Autres,4 x 4,Automatique,93000
Audi,A6,193959,Noir,Automatique,2008,2.0L,8,Diesel,69500
Toyota,FJ Cruiser,8000,Blanc,Automatique,2023,1.5L,6,Essence,120000
Citroen,Nemo,201000,Blanc,Manuelle,2014,1.4L,6,Diesel,23500
Kia,Cerato,164400,Gris,Manuelle,2014,1.6L,7,Essence,41000
Mercedes-Benz,Classe C,16500,Blanc,Automatique,2022,1.8L,10,Hybride,1234
Polo,5,260000,Bleu,2011,1.2L,Volkswagen,Compacte,Avec kilométrage,27000
Hyundai,I 20,84381,Blanc,Manuelle,2019,>4.0L,1.2,Essence,1212
C2,Compacte,244260,Rouge,Manuelle,2009,Citroen,Essence,05,18500
Fiat,Doblo,333333,Rouge,Manuelle,2001,1.9L,6,Diesel,19500
BMW,Compact,230.000,Noir,Manuelle,2008,1.4L,5,Essence,12345
Fiat,Ducato,110000,Blanc,Manuelle,2020,2.2L,6,Diesel,65000
Peugeot,3008,27000,Gris,Manuelle,2022,1.2L,7,Essence,100000
Citroen,C-Elysée,123035,Gris,Manuelle,2014,1.2L,5,Essence,26000000
Renault,Symbol,163000,Noir,Manuelle,1.2L,2009,5,Essence,27000
Compacte,Essence,39000,Gris,BMW,Serie 2,140,Avec kilométrage,2.1L,130000
Seat,Leon ST,76000,Gris,Manuelle,2014,5,Berline,1.2L,48000
Volkswagen,Golf,104000,Noir,Automatique,2019,1.4L,5,Diesel,111111
Micra,5,95000,Noir,Manuelle,2017,Nissan,Autres,1.2L,29000
Peugeot,Partner,60,Blanc,Manuelle,2009,1.6L,5,Diesel,20000
Mercedes-Benz,Classe B,230000,Noir,Manuelle,2010,1.6L,6,Diesel,31000
BMW,Serie 4,170000,Noir,Automatique,2017,1.8L,8,Essence,95000
Seat,Ibiza,165000,Blanc,Manuelle,2017,<1.0L,4,Essence,33000
Fiat,500X,180000,Rouge,Automatique,2017,1.4L,7,Essence,58000
Renault,Symbol,190000,Noir,Manuelle,2010,>4.0L,5,Essence,26000
Peugeot,208,111000,Gris,Manuelle,2017,1.2L,5,Essence,31500
Volkswagen,Golf,200000,Blanc,Manuelle,1994,1.9L,6,Diesel,14500
Renault,Clio,140,Noir,Manuelle,2017,3.0L,7,Essence,43000
Mazda,3,120000,Bleu,Manuelle,2017,1.5L,6,Essence,52000
Toyota,Aygo,167000,Gris,Manuelle,2006,1.4L,04,Essence,18000
Classe A,09,50000,Noir,Automatique,2019,Mercedes-Benz,Compacte,1.6L,175000
Autres,Autres,6000,Noir,Automatique,2022,1.5L,9,Essence,1234
Mercedes-Benz,Classe C,140000,Noir,2.0L,2020,Automatique,8,Diesel,1234
Hyundai,Tucson,60000,Noir,1.6L,2022,Automatique,8,Diesel,1234
Essence,Cabriolet,Noir,Pièces manquantes,Fiat,Uno,5,01,1.2L,2000
Peugeot,Partner,350,Blanc,Manuelle,2012,1.2L,5,Diesel,25500
1999,2.5L,Gris,Avec kilométrage,Mercedes-Benz,Classe C,299000,9,Essence,20000
Corsa,5,70021,Noir,2010,Manuelle,Opel,Essence,NULL,30000
Mercedes-Benz,250,170,Noir,Automatique,2011,2.0L,12,Diesel,69500
Chery,Tiggo,117,Noir,Manuelle,2018,1.4L,8,Essence,42500
Citroen,AX,248000,Blanc,Manuelle,1998,1.1L,4,Essence,7500
Peugeot,Partner,195000,Blanc,Manuelle,2010,1.6L,19,Diesel,27000
Opel,Kadett,12345698,Gris,Manuelle,1999,1.6L,5,Diesel,3000
Volkswagen,Golf 7,155000,Blanc,Automatique,2019,1.2L,6,Essence,86000
Chevrolet,Cruze,175000,Noir,Manuelle,2012,1.2L,7,Essence,30000
Renault,Clio,352000,Gris,Manuelle,2005,1.2L,4,Essence,15000
Volkswagen,Polo,320000,Bleu,Manuelle,2003,<1.0L,10,Essence,14500
404,1.6L,Avec kilométrage,2019,8,Diesel,Pick up,Manuelle,208,36000
Peugeot,208,100,Bleu,Manuelle,2020,1.2L,5,Essence,999
4 x 4,Diesel,120000,Blanc,Automatique,2020,1.9L,8,D-MAX,142000
Peugeot,407,0,Noir,Manuelle,2007,1.6L,6,Diesel,20000
Kia,Rio,80000,Gris,Manuelle,2019,1.2L,05,Essence,53500
Peugeot,301,567450,Jaune,Manuelle,2018,1.6L,5,Diesel,30000
Renault,R21,100000000,Gris,Manuelle,1996,1.9L,6,Diesel,10000
Peugeot,308,225000,Noir,Manuelle,2008,1.4L,6,Essence,23000
Peugeot,106,1,Bleu,Manuelle,1993,<1.0L,4,Essence,7400
Chevrolet,Cruze,100000,Noir,Manuelle,2022,1.2L,05,Essence,43500
Volkswagen,Polo,29000,Blanc,Manuelle,2021,<1.0L,05,Essence,67500
Peugeot,405,000000,Vert,Manuelle,1996,1.6L,7,Diesel,10500
Fiat,Grande Punto,177,Blanc,Manuelle,2016,<1.0L,4,Essence,27000
Peugeot,301,98000,Blanc,Manuelle,2020,1.2L,5,Essence,28500
Micra,Essence,170000,Blanc,Manuelle,2014,Nissan,Compacte,4,26000
Chevrolet,Cruze,170,Blanc,Manuelle,2018,1.6L,7,Essence,35000
2000,Landwind,Blanc,Avec kilométrage,2.5L,Diesel,Manuelle,Autres,1500,29000
Volkswagen,Polo,200,Noir,Manuelle,1997,<1.0L,5,Essence,10600
Focus,6,229000,Noir,Manuelle,1.6L,Ford,Essence,Berline,20500
Fiat,Palio,500,Jaune,Manuelle,2009,1.1L,5,Essence,9000
Opel,Corsa,00000,Rouge,Manuelle,2015,>4.0L,00000,Essence,25500
Mercedes-Benz,Classe CLS,270000,Noir,Automatique,2007,3.5L,19,Essence,47000
Kia,Rio,70000,Bleu,Manuelle,2020,1.2L,5,Essence,53000
Peugeot,404,166000,Gris,Manuelle,2018,2.5L,8,Diesel,47000
Avec kilométrage,Renault,78000,Manuelle,5,Essence,Gris,Clio,1,42500
Hyundai,I 10,110000,Blanc,Manuelle,2019,1.2L,5,Essence,31500
Peugeot,Compacte,285982,Gris,Manuelle,4,Essence,206,1999,16800
Chery,A3,74000,Gris,Manuelle,1.5L,2017,6,Essence,30000
Autres,Diesel,400,Blanc,Manuelle,Peugeot,Boxer,1.9L,1996,14000
Kia,Sportage,53000,Gris,Automatique,2018,1.6L,8,Essence,87000
Autres,Autres,69000,Noir,Automatique,2021,1.5L,10,Essence,96000
Ford,Focus,145000,Marron,Automatique,2018,<1.0L,7,Essence,42000
Opel,Astra,200,Autre,Manuelle,2002,1.4L,5,Diesel,11500
BMW,Serie 3,190000,Noir,Automatique,2012,1.5L,7,Essence,47000
Ssangyong,Actyon,147000,Gris,Manuelle,2020,1.2L,6,Essence,57500
Volkswagen,Caddy,303000,Blanc,Manuelle,2014,1.6L,5,Diesel,25000
Ford,C-Max,293000,Gris,Manuelle,2008,1.6L,5,Diesel,23500
Peugeot,306,132000,Rouge,Manuelle,1994,1.9L,6,Diesel,14000
Citroen,C5,205000,Gris,Manuelle,2012,1.6L,6,Diesel,40000
2009,Passat,Manuelle,Beige,Avec kilométrage,1.9L,Volkswagen,Diesel,6,34000
Fiat,Doblo,220,Blanc,Manuelle,2018,1.3L,5,Diesel,25000
Toyota,Hilux,0,Noir,Manuelle,2011,2.5L,8,Diesel,260
5,Autres,200000,Noir,>4.0L,Volkswagen,Golf 6,Essence,Manuelle,39000
Renault,Kangoo,270,Blanc,Manuelle,2001,1.2L,4,Diesel,1000
Autres,Autres,138000,Noir,Automatique,2019,1.5L,9,Essence,74000
Fiat,Punto,122.000,Blanc,Manuelle,2015,1.2L,4,Essence,26100
Peugeot,308,13000,Gris,Manuelle,2017,1.2L,5,Essence,41500
Dacia,Duster,220000,Beige,Manuelle,2013,1.2L,5,Diesel,1300
Citroen,Berlingo,0000,Gris,Manuelle,2007,1.9L,7,Diesel,17800
Volkswagen,Polo,000000,Gris,Manuelle,2000,<1.0L,4,Essence,13000
NULL,NULL,Blanc,Nouveau,Essence,2019,NULL,NULL,NULL,45500
Mercedes-Benz,Classe CLA,20,Noir,Automatique,2020,1.6L,6,Essence,185
Volkswagen,Golf 8,41,Blanc,Manuelle,2021,1.1L,Compacte,5,89500
Kia,Sportage,120,Blanc,Automatique,2019,1.6L,11,Essence,1234
Essence,NULL,185000,Gris,Fiat,Palio,4,NULL,NULL,11500
5,Essence,Bleu,Avec kilométrage,1998,Volkswagen,Polo,1,Autres,12500
Nissan,Micra,64000,Autre,Manuelle,2016,1.1L,5,Essence,35000
Audi,A4,388000,Bleu,Manuelle,1997,1.6L,7,Essence,13800
Citroen,Berlingo,119000,Blanc,Manuelle,2019,1.6L,6,Diesel,41000
Autres,Autres,88750,Noir,Manuelle,2017,1.5L,6,Essence,38700
Kia,Picanto,65000,Blanc,Manuelle,2019,1.2L,4,Essence,36500
Citroen,C4 Cactus,101,Gris,Manuelle,2019,1.2L,5,Essence,46000
0000,9,00000,Beige,Manuelle,Peugeot,404,Pick up,<1.0L,97798554
Autres,Autres,84381,Blanc,Manuelle,2019,>4.0L,1.9,Essence,1212
Dacia,Dokker,170000,Noir,Manuelle,2016,1.9L,6,Diesel,26500
Renault,Super 5,41256,Noir,Manuelle,1988,1.1L,4,Essence,4000
Volkswagen,Golf 8,274000,Noir,Manuelle,2017,1.2L,5,Essence,50000
Mahindra,Hover,21000,Gris,Manuelle,2019,1.2L,5,Essence,27000
Peugeot,3008,115000,Gris,Automatique,2020,1.6L,6,Diesel,92000000
NULL,NULL,Noir,Avec kilométrage,Fiat,NULL,NULL,NULL,NULL,11000
Peugeot,RCZ,30.000,Bleu,Manuelle,2021,1.9L,6,Diesel,1111111111
Mercedes-Benz,Classe E,95000,Noir,Automatique,2018,1.8L,9,Essence,140000
Jeep,Compass,80000,Gris,Automatique,2020,1.4L,8,Essence,85000
Mercedes-Benz,Classe A,90000,Gris,Automatique,2019,1.4L,9,Essence,1233
Audi,A3,110000,Gris,Manuelle,2019,<1.0L,6,Essence,88000
Volkswagen,Golf 7,100000,Blanc,Automatique,2020,1.2L,6,Essence,70000
Mercedes-Benz,Classe A,72000,Rouge,Manuelle,2019,1.4L,6,Essence,105000
Suzuki,Swift,90000,Blanc,Manuelle,2019,1.2L,5,Essence,36900
Peugeot,308,98000,Noir,Manuelle,2019,1.2L,Compacte,Essence,47000
Jeep,Compass,120000,Noir,Automatique,2018,1.4L,8,Essence,72000
Seat,Toledo,84000,Noir,Automatique,2017,1.2L,6,Essence,45000
BMW,Serie 3,120000,Noir,Automatique,2018,1.6L,7,Essence,78000
Seat,Leon,100000,Noir,Manuelle,2018,1.2L,6,Essence,68500
Mercedes-Benz,Classe C,120000,Noir,Automatique,2019,1.6L,8,Essence,120000
BMW,Serie 5,100000,Noir,Automatique,2018,2.0L,10,Essence,153000
Hyundai,I 10,70000,Gris,Manuelle,2019,1.2L,5,Essence,37000
Renault,Megane,65000,Noir,Manuelle,2021,1.2L,7,Essence,65000
Kia,Sportage,100000,Noir,Automatique,2017,1.6L,8,Essence,80000
Audi,A4,140000,Gris,Manuelle,2015,1.8L,8,Essence,58000
Mercedes-Benz,Classe E,180000,Blanc,Automatique,2016,1.8L,10,Essence,125000
Hyundai,I 20,70000,Blanc,Manuelle,2019,1.2L,5,Essence,45500
Citroen,C4,100000,Noir,Manuelle,2016,1.2L,5,Essence,39500
Volkswagen,Jetta,170000,Noir,Manuelle,2013,2.0L,8,Essence,36000
Ford,Focus,100000,Gris,Manuelle,2019,<1.0L,6,Essence,59500
Mercedes-Benz,Classe C,130000,Noir,Automatique,2018,1.6L,8,Essence,112000
Peugeot,106,220000,Gris,Manuelle,1997,1.1L,5,Essence,11500
Peugeot,207,198,Gris,Automatique,2011,1.4L,4,Diesel,30800
98,2.9L,14,Berline,Noir,Avec kilométrage,Manuelle,Toyota,Essence,305000000
2005,1.9L,Gris,Manuelle,Golf,Diesel,Avec kilométrage,6,000,26000
Mercedes-Benz,Utilitaire,500,Blanc,Manuelle,1988,2.2L,8,Diesel,9000
Volkswagen,Polo,245000,Gris,Manuelle,2005,1.2L,4,Essence,16800
Kia,Picanto,145000,Blanc,Manuelle,2018,1.2L,4,Essence,33000
Kia,Rio,82000,Gris,Manuelle,2019,1.2L,5,Essence,1111
Renault,Symbol,211000,Gris,Manuelle,2011,1.2L,5,Essence,25000
Kia,Rio,110000,Noir,Manuelle,2017,1.2L,5,Essence,41500
Citroen,C3,Bleu,Avec kilométrage,Manuelle,2003,1.2L,5,Essence,15000
Chery,Tiggo,70700,Gris,Manuelle,2020,1.5L,6,Essence,43700
Peugeot,308,0,Gris,Manuelle,2016,1.2L,5,Essence,42000
Fiat,Grande Punto,240000,Rouge,Manuelle,2011,1.2L,5,Essence,23000
Hyundai,Accent,250000,Gris,Manuelle,2014,1.4L,6,Essence,34000
Ford,Fiesta,137000,Rouge,Manuelle,1998,1.2L,5,Essence,12700
Manuelle,2009,Diesel,Berline,0,Blanc,Avec kilométrage,Citroen,1.6L,300
Citroen,C3,1111,Bleu,Manuelle,2024,1.5L,5,Essence,11111
Kia,Rio,100,Bleu,Manuelle,2020,1.2L,5,Essence,45699
Hyundai,Tucson,68,Gris,Automatique,2020,1.6L,1.6,Essence,106
Ford,Fiesta,60000,Noir,Manuelle,2016,1.2L,05,Essence,38000
Peugeot,307,300,Bleu,Manuelle,2007,1.6L,5,Diesel,23500
Renault,Kangoo,310000,Blanc,Manuelle,2001,1.9L,5,Diesel,1111
10,Diesel,250000,Blanc,Manuelle,Isuzu,D-MAX,Pick up,2020,54000
Audi,A4,268000,Gris,Manuelle,2007,1.6L,7,Essence,27500
Renault,Symbol,760,Beige,Manuelle,2013,1.6L,5,Essence,18000
Volkswagen,LT,0000,Blanc,Manuelle,2000,1.8L,10,Diesel,15000
Fiat,Punto,360,Blanc,Manuelle,1996,1.4L,4,Essence,12800
Peugeot,405,366000,Gris,Manuelle,2001,3.0L,5,Diesel,8000
Renault,Megane,330,Noir,Manuelle,2007,1.5L,6,Diesel,22000
Autres,Autres,24000,Noir,Manuelle,2022,1.2L,5,Essence,25000
Volkswagen,Polo,270000,Gris,Manuelle,2012,1.2L,260,Essence,26000
Hyundai,I 10,61,Rouge,Manuelle,2021,1.2L,5,Essence,44500
Volkswagen,Polo,170000,Gris,Manuelle,2012,1.2L,26000,Essence,26000
BMW,X5,134000,Blanc,Automatique,2009,3.0L,19,Essence,78000
Renault,Clio,109,Gris,Manuelle,2019,<1.0L,5,Essence,49800
Renault,Symbol,248000,Autre,Manuelle,2010,1.2L,5,Essence,23500
Renault,Megane,1402021,Blanc,Manuelle,2021,1.5L,5,Diesel,1111
Kia,Rio,58000,Rouge,Manuelle,2019,<1.0L,6,Essence,62500
NULL,NULL,Volkswagen,Passat,NULL,NULL,NULL,NULL,NULL,22000
Peugeot,3008,113000,Noir,Automatique,2019,1.6L,6,Diesel,97000
Chevrolet,Spark,200.000,Bleu,Manuelle,2012,1.2L,4,Essence,23000
Avec kilométrage,Gris,100,Manuelle,Passat,2007,1.9L,6,Berline,449
Essence,Manuelle,240.000,Bleu,1995,Peugeot,4,>4.0L,Compacte,9000
Chery,QQ,40000,Noir,Manuelle,2019,1.2L,4,Essence,23000
Hyundai,I 10,62500,Gris,Manuelle,2021,1.2L,5,Essence,1234
Isuzu,D-MAX,4000,Gris,Manuelle,2023,2.5L,2.5,Diesel,108
Honda,City,10000,Rouge,Automatique,2022,1.5L,6,Essence,72000
Volkswagen,Passat,320919,Gris,Automatique,2019,2.5L,10,Essence,65000000
Isuzu,Trooper,126327,Bleu,Manuelle,1991,>4.0L,2,Diesel,11111111111111
Peugeot,Bipper,194000,Blanc,Manuelle,2013,1.4L,6,Diesel,22200
Peugeot,301,0,Blanc,Manuelle,2024,1.4L,5,Diesel,34900
Manuelle,Avec kilométrage,Essence,Autres,Fiat,1.2L,2011,Gris,Grande Punto,25000
Toyota,Aygo,4500,Noir,Manuelle,2023,<1.0L,4,Essence,36000
Saxo,4,375000,Gris,Manuelle,1998,Citroen,Essence,Berline,11000
6,Diesel,Blanc,Avec kilométrage,2008,Volkswagen,Transporter,2.5L,368000,22000
Volkswagen,Jetta,214000,Noir,Manuelle,2012,1.6L,5,Diesel,410006
Fluence,Essence,163000,Noir,2014,1.6L,Renault,Compacte,Automatique,33000
Volkswagen,Polo,459,Violet,Manuelle,1997,<1.0L,4,Essence,1234
Volkswagen,Golf Plus,90000,Blanc,Manuelle,2019,1.1L,6,Essence,94000
Audi,A4,400,Noir,Automatique,1999,1.6L,8,Essence,17500
Seat,Leon ST,207,Blanc,Automatique,2015,1.2L,6,Essence,47500
Hyundai,I 20,84381,Blanc,Manuelle,2019,>4.0L,1.2,Essence,1212
Audi,A3,107000,Blanc,Automatique,2018,1.2L,06,Essence,92000
Renault,Clio,26500,Autre,Manuelle,2022,<1.0L,4,Essence,32000
4,Essence,35000,Bleu,Manuelle,Chery,QQ,2022,Compacte,23000
Hyundai,Tucson,98000,Blanc,Automatique,2019,1.9L,7,Diesel,27474175
Kia,Rio,323000,Blanc,Manuelle,2012,1.2L,5,Essence,27500
Ford,Fiesta,237000,Bleu,Manuelle,2006,1.2L,5,Essence,19000
Nissan,Qashqai,69000,Gris,Manuelle,2018,1.2L,7,Essence,66000
Cobra,Diesel,0,Automatique,Compacte,Argent,2000,Nouveau,12,6999
Citroen,Nemo,22200,Blanc,Manuelle,2015,>4.0L,000,Diesel,25200
Peugeot,Bipper,260,Blanc,Manuelle,8,1.4L,Diesel,6,24000
Chevrolet,Spark,140,Blanc,Manuelle,2012,1.2L,5,Essence,123
Land Rover,Range Rover Evoque,87000,Gris,Automatique,2019,2.0L,4 x 4,12,220000
Fiat,Tipo,122000,Gris,Manuelle,2017,1.4L,6,Essence,47000
Peugeot,407,430000,Bleu,Manuelle,0000,1.6L,6,Diesel,17500
Ford,Fiesta,97000,Rouge,Manuelle,2017,1.1L,5,Essence,36000
Mercedes-Benz,Classe C Coupe,300000,Noir,Manuelle,2003,1.5L,9,Essence,20000
Toyota,Aygo,200,Gris,Manuelle,2023,<1.0L,4,Essence,40000
Ford,Ranger,314,Blanc,Manuelle,2014,2.2L,7,Diesel,50000
Volkswagen,Caddy,349,Blanc,Manuelle,2010,2.0L,8,Diesel,19000
Peugeot,301,68000,Blanc,Manuelle,2015,1.2L,5,Essence,25000
Renault,Symbol,230000,Bleu,Manuelle,2009,1.2L,5,Essence,22000
Essence,Fiat,220000,Gris,Manuelle,2016,4,Grande Punto,Autres,29000
Citroen,C4,200,Gris,Manuelle,2015,1.6L,7,Essence,1900
1.6L,Nouveau,Diesel,Berline,Citroen,Berlingo,2011,Manuelle,Gris,39000
Volkswagen,Polo,111000,Noir,Manuelle,2017,<1.0L,4,Compacte,36500
Compacte,Essence,Blanc,Avec kilométrage,1.2L,Opel,Corsa,300000,Manuelle,15200
Autres,Autres,0000,Blanc,Manuelle,1994,1.2L,0,Essence,8000
Hyundai,I 10,65000,Gris,Manuelle,2021,<1.0L,4,Essence,42800
Jeep,Commander,375000,Gris,Automatique,2008,3.0L,16,Diesel,27627273
Peugeot,208,305000,Noir,Manuelle,2017,1.2L,5,Berline,29700
Citroen,Berlingo,180.000,Gris,Manuelle,2017,1.6L,7,Essence,199
Citroen,C-Elysée,22200,Blanc,Manuelle,2015,1.2L,5,Essence,21500
Citroen,Nemo,169,Blanc,Manuelle,2015,1.4L,6,Diesel,24500
7,Compacte,87000,Blanc,2017,BMW,Serie 4,Essence,Avec kilométrage,115000
Mercedes-Benz,220,0000000000,Noir,Manuelle,2003,1.6L,6,Diesel,31000
Opel,Kadett,300500,Bleu,Manuelle,1994,1.3L,5,Essence,4000
Nissan,Murano,146000,Noir,Automatique,2011,2.5L,12,Diesel,1234
Peugeot,J9,148000,Blanc,Manuelle,2019,1.6L,5,Diesel,1234
Citroen,C5,174000,Bleu,Manuelle,2010,<1.0L,8,Diesel,22000
Geely,GK-GL,170000,Noir,Manuelle,2019,1.4L,6,Essence,29171704
Peugeot,Partner,200,Blanc,Manuelle,2006,1.4L,6,Diesel,16200
Citroen,C-Elysee,156,Gris,Manuelle,2016,1.2L,5,Essence,123
Symbol,5,250000,Beige,Manuelle,2007,Renault,Essence,1.2L,15500
Renault,Trafic,290000,Gris,Manuelle,2012,1.9L,7,Diesel,35000
NULL,NULL,190000,Gris,Manuelle,NULL,NULL,NULL,NULL,48000
Audi,A3,220000,Noir,Manuelle,20083,1.6L,6,Essence,35500
Ford,Fusion,205,Noir,Automatique,1.6L,2016,9,Essence,52000
BMW,Serie 5,217000,Noir,Manuelle,2009,2.0L,10,Diesel,59000
Volkswagen,Lupo,380000,Noir,Manuelle,2001,1.4L,4,Essence,13000
Nissan,Qashqai,70,Autre,Manuelle,2015,1.6L,6,Essence,123
Peugeot,206,00000,Rouge,Manuelle,11111,1.2L,5,Essence,17000
Opel,Corsa,117000,Camel,Manuelle,2014,1.4L,5,Essence,32000
Peugeot,208,32000,Gris,Manuelle,2021,1.1L,04,Essence,45000
Isuzu,D-MAX,146000,Bleu,Manuelle,2016,1.6L,8,Diesel,12345
Renault,R19,0,Gris,Manuelle,1996,1.9L,6,Diesel,8400
Nissan,Navara,2,Noir,Manuelle,2000,2.5L,10,Diesel,17500
Peugeot,Partner,100,Blanc,Manuelle,2020,1.6L,5,Essence,42500
Volkswagen,Golf,236,Noir,Manuelle,2006,1.4L,5,Essence,29000
Volkswagen,Beetle,185000,Noir,Manuelle,2012,1.2L,6,Essence,44000
Volkswagen,Golf 8,316000,Gris,Manuelle,2002,1.4L,5,Hybride,23000
Nissan,Patrol,11111111,Autre,Manuelle,1995,2.8L,11,Diesel,31000
Partner,Diesel,221000,Blanc,2011,1.6L,Peugeot,Avec kilométrage,6,27500
Peugeot,206+,0,Blanc,Manuelle,2012,1.4L,4,Diesel,12000
Volkswagen,Golf,330000,Blanc,Manuelle,2008,1.9L,5,Diesel,30000
Peugeot,Partner,217000,Blanc,Manuelle,2013,1.6L,5,Diesel,35500
0000,2.8L,212500,Noir,Manuelle,Isuzu,D-MAX,6,Diesel,97669907
Mahindra,Hover,16000,Rouge,Manuelle,2021,1.2L,5,Essence,39000
Expert,7,500000,Blanc,2007,Peugeot,Manuelle,Autres,>4.0L,21000
Ford,Fiesta,198000,Noir,Manuelle,2011,1.3L,5,Essence,25000
5,Compacte,000,Gris,1.1L,Renault,R9,Essence,Nouveau,5500
Citroen,Berlingo,210000,Blanc,Manuelle,2017,3.0L,5,Diesel,32499
Nissan,Micra,106000,Noir,Manuelle,2013,1.2L,5,Essence,21800
A4,9,198000,Avec kilométrage,2010,1.8L,Audi,Berline,NULL,33000
Range Rover Evoque,8,32875,Gris,Automatique,2018,Land Rover,4 x 4,1.9L,999999
Fiat,Grande Punto,140,Noir,Manuelle,2010,1.4L,5,Essence,17500
Kia,Sportage,116,Rouge,Manuelle,2019,1.7L,7,Diesel,99000
Volkswagen,Golf 8,75000,Blanc,Automatique,2021,1.5L,8,Hybride,128000
Peugeot,Expert,430000,Blanc,Manuelle,2009,1.6L,5,Diesel,23000
Peugeot,301,155000,Noir,Manuelle,2019,1.2L,5,Essence,25000
Seat,Altea,400,Gris,Manuelle,2017,1.6L,5,Diesel,34500
Peugeot,Partner,30,Blanc,Manuelle,2023,1.5L,5,Diesel,57500
Peugeot,308,181000,Beige,Manuelle,2010,1.4L,6,Essence,23000
308,175,Gris,Avec kilométrage,2014,1.2L,Peugeot,Compacte,123000,34500
Suzuki,Vitara,220,Gris,Manuelle,1991,2.5L,8,Essence,29500
Volkswagen,Golf 8,190.000,Argent,Manuelle,2014,1.6L,5,Diesel,52000
Volkswagen,Golf,291,Noir,Manuelle,2008,1.4L,Essence,6,38000
Serie 3,9,Autre,Avec kilométrage,2001,1.9L,BMW,Autres,11111111,123
Isuzu,D-MAX,630000,Gris,Manuelle,1998,2.5L,10,Diesel,45000
Renault,Clio,257000,Gris,Manuelle,2002,1.2L,4,Essence,18000
Volkswagen,Golf 8,155000,Bleu,Manuelle,1993,1.4L,6,Essence,10500
5,Compacte,162,Rouge,Manuelle,2010,1.2L,Essence,Punto,25500
